,D,IIs,Rob,regime,sIIs
0,0.0,1.3610000000000004,0.4834416666666664,r0.0,1.3627499999999995
1,0.0824494000171374,2.9460000000000015,0.49420749999999986,r0.0,1.2254999999999996
2,0.14968224341126796,4.7975,0.4919608333333334,r0.0,1.2842499999999994
3,0.208912969377333,6.931999999999997,0.4878733333333334,r0.0,1.31
4,0.25755004622741107,8.625500000000002,0.48905333333333334,r0.0,1.3007500000000007
5,0.3007169321646463,10.163499999999997,0.49858083333333375,r0.0,1.3964999999999999
0,0.0010221187288421898,0.5054999999999998,0.5189375,r0.1,0.47324999999999995
1,0.08150985674832022,1.8410000000000002,0.5273241666666669,r0.1,0.43924999999999975
2,0.1517488848506427,3.3959999999999995,0.530446666666667,r0.1,0.4252500000000002
3,0.20749322377683188,4.988,0.5201533333333331,r0.1,0.45724999999999993
4,0.25182856733878295,6.310500000000001,0.5241600000000001,r0.1,0.4864999999999997
5,0.29257690647582535,7.391000000000006,0.5314149999999996,r0.1,0.46500000000000014
0,0.000903966562280348,0.2755,0.6064091666666666,r0.5,0.27175
1,0.07771200322619257,1.1454999999999997,0.6124258333333332,r0.5,0.25799999999999995
2,0.14674833769291515,2.327,0.6143874999999999,r0.5,0.26524999999999993
3,0.20268704840373047,3.231500000000001,0.6272083333333337,r0.5,0.2635
4,0.24855165755105083,4.6965,0.6136633333333332,r0.5,0.2842499999999999
5,0.2864460717248773,5.1875000000000036,0.6247425000000001,r0.5,0.2772499999999998
0,0.0008533574231735687,0.19150000000000017,0.6673216666666667,r1.0,0.19375000000000003
1,0.0750254357216297,0.7569999999999996,0.6692583333333332,r1.0,0.1610000000000001
2,0.13817277041782064,1.5159999999999991,0.6660508333333333,r1.0,0.18125
3,0.19041245392460265,2.5469999999999984,0.6656716666666667,r1.0,0.18325000000000002
4,0.23409660116176956,3.131999999999999,0.6621783333333332,r1.0,0.2170000000000001
5,0.2740592804136245,4.076999999999999,0.6647033333333338,r1.0,0.17850000000000002
0,0.0009184972825064593,0.09299999999999993,0.7349950000000004,F100,0.09500000000000011
1,0.07336329837938017,0.4849999999999999,0.7361233333333331,F100,0.08675000000000008
2,0.13062111493692374,0.9294999999999994,0.7387991666666669,F100,0.07900000000000003
3,0.1840278023036583,1.3809999999999993,0.7438025000000009,F100,0.07825
4,0.22588731574554688,1.748499999999999,0.7502391666666667,F100,0.07600000000000003
5,0.2621310872002183,2.3925000000000005,0.7448375000000008,F100,0.08300000000000006
0,0.000679208275541782,0.0030000000000000005,0.4254891666666666,F10,0.00525
1,0.08124056437155151,1.3840000000000001,0.4357424999999999,F10,0.0005
2,0.14368273296187886,3.3735000000000013,0.42650499999999986,F10,0.00525
3,0.1972311214488776,5.018000000000002,0.4406449999999996,F10,0.004750000000000001
4,0.2444582482007063,7.212500000000002,0.42551499999999964,F10,0.004
5,0.2880384332123094,8.917499999999999,0.42701583333333337,F10,0.0025
0,0.0010908712680572767,0.04249999999999996,0.5852141666666667,F50,0.03874999999999998
1,0.08037997808005205,0.8214999999999997,0.5900224999999996,F50,0.04574999999999999
2,0.14835439155509872,1.9970000000000008,0.6000983333333333,F50,0.03824999999999997
3,0.2006236875824603,3.0330000000000013,0.5984150000000003,F50,0.04825
4,0.24568279202155544,4.089500000000002,0.6002658333333332,F50,0.05399999999999999
5,0.28534373521740597,4.926,0.6057566666666667,F50,0.04799999999999997
0,0.0,0.13699999999999998,0.9144099999999998,F500,0.1267500000000001
1,0.0773799917535603,0.22750000000000017,0.9133133333333333,F500,0.12725000000000006
2,0.12240105096361917,0.26850000000000024,0.9205374999999999,F500,0.11625000000000009
3,0.1575274162621486,0.35300000000000004,0.9211566666666667,F500,0.12300000000000015
4,0.18657004019157447,0.376,0.9199525000000003,F500,0.12100000000000018
5,0.20705413917820525,0.47499999999999964,0.9209908333333334,F500,0.1195000000000001
0,0.0007103975104085249,0.018000000000000002,0.4187350000000001,N10,0.020499999999999997
1,0.08127458004669304,1.7240000000000004,0.4215825,N10,0.04349999999999999
2,0.1487092902127974,3.867500000000001,0.4243641666666666,N10,0.020499999999999997
3,0.20165411773503056,5.967499999999998,0.4144341666666669,N10,0.02399999999999999
4,0.24617764265947215,7.274000000000001,0.4258258333333336,N10,0.024999999999999988
5,0.28454258780159436,8.924500000000005,0.42084833333333327,N10,0.037750000000000006
0,0.0011169301235048985,0.6665000000000002,0.46589500000000006,N50,0.6292499999999999
1,0.08632503981518455,2.5645000000000007,0.45826083333333334,N50,0.5732500000000001
2,0.1520228618530106,4.2844999999999995,0.46651750000000014,N50,0.5244999999999993
3,0.2076988938010312,6.226000000000002,0.46181416666666664,N50,0.5325000000000001
4,0.2585348637246632,8.068500000000002,0.4594916666666667,N50,0.4997499999999998
5,0.2998310342739622,9.516,0.46795249999999977,N50,0.5440000000000002
0,0.0006540147926320009,5.1325,0.5352625000000001,N500,5.297250000000003
1,0.05833884775991796,6.621500000000005,0.5413875000000002,N500,5.636999999999997
2,0.11633539854318034,7.9129999999999985,0.53954,N500,5.490500000000005
3,0.16856507572106808,9.639000000000005,0.5422183333333334,N500,5.4982500000000005
4,0.21722644524863718,10.834999999999997,0.5435883333333335,N500,5.4899999999999975
5,0.25822620059560175,11.9065,0.5435625000000004,N500,5.324
0,0.0,0.0,0.4049333333333333,SSWM,
1,0.08299999999999999,1.485,0.4063416666666667,SSWM,
2,0.14895000000000003,3.715,0.3976416666666666,SSWM,
3,0.20069999999999993,5.665,0.4012166666666668,SSWM,
4,0.24335000000000007,7.69,0.4043666666666668,SSWM,
5,0.2806999999999999,9.145,0.40034166666666665,SSWM,
